"Day Menu","Day Menu",1001001,"Chao Shou 抄手","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Fried Sichuan dumplings filled with meat or vegetables</p>","Annie",,0,0
"Day Menu","Day Menu",1001002,"Seafood Porridge 海鲜粥","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Tasty rice porridge with mixed seafood and vegetables</p>","Annie",,0,0
"Day Menu","Day Menu",1001003,"Silver Wood Ear Soup 银耳汤","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">A healthy and light Chinese style soup made from wood ear fungus</p>","Annie",,0,0
"Day Menu","Day Menu",1001004,"Liang Mian 凉面","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Cold noodles with Chinese black bean chili sauce and vegetables</p>","Annie",,0,0
"Day Menu","Day Menu",1001005,"Baozi 包子","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Home made traditional Chinese rice buns stuffed with vegetables and meat</p>","Annie",,3,5
"Day Menu","Day Menu",1001006,"Char Siu Rice 叉烧饭","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Cantonese style roasted pork with sweet barbecue sauce served together with rice</p>","Annie",,0,0
"Day Menu","Day Menu",1001007,"Chongqing Beef Noodles 重庆牛肉面","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Spicy chili and pepper soup with noodles and beef from Panda Annie's hometown of Chongqing</p>","Annie",,0,0
"Day Menu","Day Menu",1001008,"Takoyaki 章鱼烧","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Japanese style fried snack balls filled with vegetables and octopus</p>","Annie",,0,0
"Day Menu","Day Menu",1001009,"Spring Roll 越南春卷","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Vietnamese style vegetable and seafood rolls with rice noodles</p>","Annie",,0,0
"Day Menu","Day Menu",1001010,"Sushi 寿司","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Japanese style dish of raw seafood with vinegared-rice wrapped in Nori (seaweed)</p>","Annie",,0,0
"Day Menu","Day Menu",1001011,"Bibimbap 石锅拌饭","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Korean style mixed rice with vegetables and meat served with spicy chili sauce and topped with fried egg</p>","Annie",,0,0
"Day Menu","Day Menu",1001012,"Scallop w/ Vermicelli 蒜蓉粉丝扇贝","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Thin rice noodles topped with scallops, garlic and soy sauce</p>","Annie",,0,0
"Day Menu","Day Menu",1001013,"Tom Yum Noodles 冬阴功汤面","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Rice noodles and seafood soup with traditional Thai Tom Yum sauce</p>","Annie",,0,0
"Day Menu","Day Menu",1001014,"Claypot Tofu 砂锅豆腐","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Tofu and rice noodles with mixed vegetables cooked in an earthen pot</p>","Annie",,0,0
"Day Menu","Day Menu",1001015,"Braised Pork Rice 台湾卤肉饭","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Classic Taiwanese dish of pork slowly cooked in a flavorful broth of soy sauce, wine and spices</p>","Annie",,0,0
"Day Menu","Day Menu",1001016,"Steamed Rice w/ Bacon 腊肉饭","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Chinese steamed rice dish with green beans and bacon</p>","Annie",,0,0
"Day Menu","Day Menu",1001017,"Shredded Pork w/ Hot Garlic Sauce 鱼香肉丝","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Famous Sichuan dish of shredded pork in a spicy sauce made from Sichuan peppers, soy sauce and vinegar</p>","Annie",,0,0
"Day Menu","Day Menu",1001018,"Kung Pao Chicken 宫保鸡丁","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Famous Chinese dish of stir-fried chicken cubes with peanuts, vegetables and chili sauce</p>","Annie",,0,0
"Day Menu","Day Menu",1001019,"Potato Salad 土豆沙拉","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Healthy salad made with potatoes and vegetables</p>","Annie",,0,0
"Day Menu","Day Menu",1001020,"Stir-fried Tomato and Egg 西红柿炒鸡蛋","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Classic Chinese dish of tomatoes and eggs stir-fried with onions</p>","Annie",,0,0
"Day Menu","Day Menu",1001021,"Cream of Mushroom Soup 奶油蘑菇汤","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Comforting and filing home made soup with mushroom and cream</p>","Annie",,0,0
"Day Menu","Day Menu",1001022,"Spaghetti w/ Garlic Tomato Sauce 意大利面","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Spaghetti served with Panda Annie's special garlic tomato sauce</p>","Annie",,0,0
"Day Menu","Day Menu",1001023,"Cold Skin Noodles 凉皮","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Traditional Chinese dish of cold noodles covered in chili oil and black vinegar</p>","Annie",,0,0
"Day Menu","Day Menu",1001024,"Lettuce w/ Oyster Sauce 蚝油生菜","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Stir-fried lettuce with oyster sauce and ginger </p>","Annie",,0,0
"Party Serving","Party Serving",2001001,"Roast Fish 烤鱼","<p style=""font-family: 'Comic Sans MS'; font-size: 120%;"">Whole roasted fish immersed in a savory sauce of spices and vegetables<p style=""font-family: 'Comic Sans MS'; font-size: 120%;>Great for parties and small gatherings</p>","Annie",,10,1
